hh_size,n_children,region_type,hh_autos,n_emp,dist_to_transit,hh_income,trip_length_km,weight
2,0,urban,1,1,0.15,2390,2.85,0.990820046
4,2,metropolitan,1,2,0.05,4646,0.98,0.920114456
2,0,urban,2,1,0.15,2364,6.18,0.100276323
6,4,urban,2,2,0.15,8092,2.94,0.272752916
6,4,urban,2,2,0.15,8092,2.85,0.485149299
1,0,metropolitan,1,1,0.3,1635,16.25,2.292675157
2,0,urban,2,1,0.15,1894,2.94,0.216354334
3,1,metropolitan,2,2,0.7,3404,4.75,0.535463807
3,1,metropolitan,2,2,0.7,3404,4.75,0.535463807
3,1,urban,2,2,0.3,2902,19.95,0.750630368
3,1,urban,2,2,0.3,2902,21.85,0.713771756
4,1,urban,2,2,0.3,2204,2.85,0.79109187
4,1,urban,2,2,0.3,2204,26.6,0.9333352
3,0,metropolitan,3,2,0.15,2841,61.75,1.559151617
3,0,metropolitan,3,2,0.15,2841,61.75,1.308875703
1,0,urban,0,1,0.15,1042,6.37,1.018729687
3,1,metropolitan,2,2,0.3,2850,17.1,0.688100882
1,0,urban,1,1,0.7,988,1.9,2.720214128
3,1,metropolitan,1,1,0.05,1811,7.6,1.589073887
4,2,metropolitan,2,1,0.7,2236,0.86,0.941627177
4,2,metropolitan,2,1,0.7,2236,0.86,0.941627177
4,2,metropolitan,2,1,0.7,2236,0.86,1.147244268
3,0,metropolitan,0,3,0.05,4630,3.63,0.476997037
3,0,metropolitan,1,2,0.05,2878,7.84,1.204103037
3,0,metropolitan,1,2,0.05,2878,21.66,1.108836125
3,1,metropolitan,2,2,0.15,4763,11.4,1.050036626
3,1,metropolitan,2,2,0.7,3088,7.6,1.433601059
3,0,urban,1,3,0.7,2198,4.75,1.522545359
4,2,urban,0,0,0.05,1608,4.41,0.561956795
5,2,metropolitan,2,1,0.3,1641,5.7,1.002487983
4,2,metropolitan,1,2,1.5,5618,47.5,0.718617142
4,2,metropolitan,1,2,1.5,5618,40.61,0.597727588
2,0,urban,2,1,0.7,2012,14.25,0.896418804
2,0,urban,2,1,0.7,2012,2.85,0.548019429
3,1,metropolitan,2,3,0.7,4994,19,0.637814211
3,1,metropolitan,2,3,0.7,4994,0.78,0.920278979
2,0,metropolitan,2,2,0.3,1954,2.85,0.833847207
2,0,metropolitan,1,1,0.7,4322,2.66,0.986719824
3,1,metropolitan,2,2,0.7,6340,24.7,1.314200466
2,0,urban,2,2,0.3,6409,0.98,0.680562035
2,0,urban,2,2,0.3,6409,31.35,0.656963025
2,0,rural,1,2,0.7,3936,2.85,0.33446465
5,1,urban,2,2,0.3,3417,6.65,0.403427414
5,1,urban,2,2,0.3,3417,36.1,0.72681319
2,0,metropolitan,2,1,0.05,3540,9.5,0.867226562
2,0,metropolitan,1,1,0.05,1765,9.03,0.531294768
3,1,metropolitan,2,2,0.3,2931,2.45,1.104830384
2,0,metropolitan,1,2,0.05,2791,17.15,1.545327337
2,0,metropolitan,1,2,0.05,2791,13.54,2.139766038
3,1,urban,1,2,0.3,4063,28.5,1.236461163
3,1,urban,1,2,0.3,4063,1.47,1.481933306
6,4,urban,2,2,0.3,3612,19,0.387983714
4,2,urban,2,2,0.15,2143,5.7,1.015357088
4,2,urban,2,2,0.15,2143,4.51,0.73937783
4,2,metropolitan,1,1,0.15,2412,12.35,1.11336092
3,0,urban,3,2,0.05,3359,4.75,0.940512291
2,0,urban,2,1,0.15,4181,3.8,1.388990305
2,0,rural,2,2,0.05,2060,23.75,1.340944856
2,0,rural,2,2,0.05,2060,30.4,1.290287963
2,0,rural,1,1,1.5,957,0.98,2.118677366
2,0,urban,2,1,0.7,3411,7.6,0.95057434
3,1,urban,1,2,0.7,2720,5.7,0.879393975
3,1,urban,1,2,0.7,2720,26.6,0.823212132
2,0,metropolitan,2,2,0.15,2640,4.75,0.440292708
2,0,urban,1,1,0.3,2570,17.1,0.722359231
3,0,metropolitan,1,1,0.3,1389,0.76,0.308482311
3,1,metropolitan,2,1,0.7,3620,23.75,0.724407596
2,0,urban,2,2,1.5,3244,28.5,0.985268277
2,0,urban,2,2,1.5,3244,12.35,0.863754915
2,0,metropolitan,2,1,0.7,5583,5.42,0.515559651
2,0,metropolitan,1,1,1.5,3244,3.8,0.742607415
6,4,urban,2,1,0.15,1335,29.45,1.719988136
2,0,urban,1,2,0.7,3391,1.96,1.605650301
2,0,urban,1,2,0.7,3391,4.41,1.471450143
1,0,metropolitan,1,1,0.3,2488,1.9,1.642376126
3,0,urban,2,1,0.3,3635,1.43,1.076493232
1,0,metropolitan,0,1,0.05,1398,8.55,5.901009995
4,2,urban,2,2,1.5,4746,2.85,0.956024853
4,2,urban,2,2,1.5,4746,28.5,1.003109824
3,0,metropolitan,3,1,0.15,3404,23.75,1.145491019
2,0,urban,1,1,0.7,1234,3.8,0.704348813
3,1,urban,1,2,0.3,3964,22.56,0.438277655
5,3,metropolitan,1,1,0.3,2515,7.6,0.757847356
5,3,metropolitan,1,1,0.3,2515,8.55,0.757847356
3,1,metropolitan,1,2,0.3,4538,25.27,1.448715703
3,1,metropolitan,2,1,0.15,2574,22.8,0.982643583
2,0,metropolitan,2,1,0.3,2864,3.33,1.221313224
4,1,metropolitan,1,2,0.3,3099,3.8,0.118768513
3,1,metropolitan,2,2,3.5,3159,7.79,0.536741295
1,0,metropolitan,1,1,0.05,1332,9.5,4.025958723
5,0,metropolitan,3,3,0.15,2960,4.75,0.490653108
5,0,metropolitan,3,3,0.15,2960,4.75,0.556733026
5,0,metropolitan,3,3,0.15,2960,4.9,0.382141543
3,0,rural,2,2,0.7,2073,52.25,1.015661688
3,0,rural,2,2,0.7,2073,10.45,0.930772743
2,0,metropolitan,2,1,0.05,2093,23.75,0.352529581
4,0,urban,3,3,0.7,5483,0.98,1.432077147
4,0,urban,3,3,0.7,5483,33.25,1.408571512
4,0,urban,3,3,0.7,5483,4.75,2.415194349
2,0,metropolitan,1,1,0.15,1482,6.18,1.640853308
3,1,urban,1,2,0.15,2523,76,0.466866902
3,1,urban,1,2,0.15,2523,3.33,0.454114051
2,0,urban,2,2,0.7,2523,6.65,1.450660171
2,0,urban,2,2,0.7,2523,4.75,1.755857412
2,0,metropolitan,0,1,0.3,1620,3.61,2.858939322
4,2,rural,2,2,3.5,2306,20.9,0.449168908
3,1,urban,2,2,0.7,3635,1.9,0.425219804
3,1,urban,2,2,0.7,3635,38,0.207412853
2,0,metropolitan,1,0,0.7,2619,10.45,0.736243861
1,0,metropolitan,1,1,0.7,2242,31.35,7.662806454
3,0,urban,3,3,0.05,5253,39.9,2.612827653
3,0,urban,3,3,0.05,5253,29.45,1.094976516
3,0,urban,3,3,0.05,5253,9.5,1.249018219
2,0,urban,1,0,0.7,1913,3.8,1.07460702
2,0,urban,2,1,1.5,2285,0.86,1.232874328
2,0,urban,2,1,0.7,2669,19,1.031753855
1,0,urban,1,1,0.05,1629,4.28,3.02534466
2,0,metropolitan,2,2,0.7,2682,17.1,1.445395734
2,0,metropolitan,2,2,0.7,2682,17.1,1.283543801
4,1,metropolitan,1,2,0.3,3696,9.03,0.30066074
4,1,metropolitan,1,2,0.3,3696,27.98,0.454603143
4,2,rural,1,2,0.15,1533,43.7,1.025436883
4,2,metropolitan,2,2,0.15,3286,11.97,0.716596561
3,1,metropolitan,2,1,0.7,3547,9.5,1.34417613
4,2,urban,2,2,0.3,3067,4.75,1.035910776
4,2,urban,2,2,0.3,3067,7.7,0.766688203
2,0,metropolitan,1,2,0.3,2242,1.96,0.799723797
2,0,metropolitan,1,2,0.3,2242,1.96,0.770166909
3,1,metropolitan,2,2,0.3,3424,38,2.914395383
3,1,metropolitan,2,2,0.3,3424,46.55,5.462874959
2,0,urban,1,1,0.7,2921,21.85,1.643789584
2,0,urban,1,1,0.7,2921,3.61,1.853186375
5,1,urban,5,3,0.7,8092,9.5,0.832522378
2,0,metropolitan,1,1,0.05,2869,19,1.877298764
4,2,metropolitan,2,1,0.15,2077,12.35,0.579702213
1,0,metropolitan,1,1,0.05,2883,3.43,1.455791279
3,1,metropolitan,1,1,0.7,3310,36.1,1.139003515
3,0,metropolitan,1,3,0.05,5855,1.47,0.808149242
3,0,metropolitan,1,3,0.05,5855,1.47,0.808149242
3,0,metropolitan,1,3,0.05,5855,0.49,1.352533898
6,3,urban,1,2,0.3,2878,2.85,0.380876371
2,0,metropolitan,2,2,0.15,3000,13.3,1.22433286
1,0,urban,1,0,0.05,745,4.28,1.229921534
4,2,metropolitan,2,2,0.15,3605,1.9,0.678550338
4,2,metropolitan,2,2,0.15,3605,6.37,0.651497069
1,0,metropolitan,1,1,0.05,1863,22.8,0.961604351
1,0,metropolitan,1,1,0.7,1118,25.65,2.687429637
2,0,metropolitan,1,2,0.7,2170,19.95,2.616028954
1,0,metropolitan,1,1,0.05,1225,7.6,1.253174819
1,0,metropolitan,1,1,0.7,1983,30.4,5.561510006
3,0,urban,2,1,1.5,3491,23.75,0.765830985
3,1,urban,1,1,0.05,3083,11.4,0.662441606
4,2,metropolitan,1,2,0.05,3221,2.85,0.192047893
4,2,metropolitan,1,2,0.05,3221,2.38,0.191849662
3,1,urban,2,1,0.05,3744,42.75,0.977053582
6,4,metropolitan,1,2,0.05,2130,12.35,1.079037721
4,2,metropolitan,1,2,0.05,2499,2.94,1.011556755
2,0,urban,1,1,1.5,4912,90.25,1.079975658
4,2,metropolitan,1,2,0.15,2263,9.5,0.487083632
4,2,metropolitan,2,1,0.05,3511,7.6,0.950356517
4,1,metropolitan,1,3,0.7,2800,0.98,0.411895163
4,1,metropolitan,1,3,0.7,2800,19,0.427702567
1,0,metropolitan,0,1,0.05,1677,0.98,4.17742867
3,1,metropolitan,1,1,0.05,3484,9.03,1.119983629
2,0,urban,2,2,0.05,1458,0.29,2.162588259
4,0,urban,2,2,0.05,3605,5.7,0.394787003
4,2,urban,1,1,0.05,1829,2.38,1.066968827
4,2,urban,1,1,0.05,1829,2.38,1.066968827
1,0,rural,1,1,0.7,957,14.25,0.994243799
1,0,rural,1,1,0.7,957,14.25,0.994243799
4,0,urban,4,4,0.7,3244,11.4,0.296380076
4,0,urban,4,4,0.7,3244,3.8,0.316788119
4,0,urban,4,4,0.7,3244,66.5,0.670076228
4,0,urban,4,4,0.7,3244,15.2,0.528707463
4,1,rural,1,1,0.15,3554,1.35,1.553163776
4,2,metropolitan,2,2,0.15,4262,9.5,0.305590354
4,2,metropolitan,2,2,0.15,4262,11.4,0.404567467
6,1,urban,3,3,0.7,2582,7.6,0.298833006
3,0,metropolitan,0,3,0.15,3936,13.54,0.440297373
3,0,metropolitan,0,3,0.15,3936,8.12,1.122235905
3,1,metropolitan,1,2,0.15,5855,9.5,0.850427453
3,1,metropolitan,1,2,0.15,5855,9.5,1.176292514
4,0,metropolitan,2,3,0.3,3286,21.85,0.494678411
4,0,metropolitan,2,2,0.05,4238,13.3,0.862389104
4,0,metropolitan,2,2,0.05,4238,9.03,0.848234138
2,0,urban,1,2,1.5,2657,13.4,0.426764026
2,0,urban,1,1,3.5,2310,23.75,2.731594576
2,1,metropolitan,1,2,0.15,1882,21.85,1.190409368
5,0,metropolitan,2,3,0.7,2716,10.45,0.396645888
5,0,metropolitan,2,3,0.7,2716,10.45,0.380831928
4,2,urban,2,2,0.7,2256,1.43,0.658992187
4,2,urban,2,2,0.7,2256,1.47,0.632718686
4,2,urban,2,2,0.7,2632,0.98,0.967175246
4,2,urban,2,2,0.7,2632,0.1,0.967175246
4,2,urban,2,2,0.7,2632,28.5,1.02253457
2,0,metropolitan,1,2,0.15,2225,5.7,0.722583238
2,0,metropolitan,1,2,0.15,2225,5.7,1.092035754
2,0,urban,2,1,0.7,3430,14.25,1.21617768
4,1,metropolitan,2,3,0.3,2038,0.2,0.775455624
4,1,metropolitan,2,3,0.3,2038,2.85,0.775455624
4,1,metropolitan,2,3,0.3,2038,19,0.744538817
4,1,metropolitan,2,3,0.3,2038,2.85,1.152175182
4,1,metropolitan,2,3,0.3,2038,2.85,1.152175182
4,1,metropolitan,2,3,0.3,2038,2.85,1.152175182
3,0,urban,0,1,0.15,799,10.83,0.864115741
4,2,urban,2,1,0.15,3256,23.75,0.46974167
5,3,urban,1,1,0.3,2786,2.85,0.36270881
2,0,urban,1,2,0.05,4003,3.92,1.026864397
2,0,metropolitan,1,2,0.05,2695,23.75,2.469477494
2,0,metropolitan,1,2,0.05,2695,22.56,1.908850769
4,2,metropolitan,1,1,0.7,5037,22.56,1.42496194
1,0,rural,1,1,0.3,1290,66.5,0.830890929
4,1,urban,1,1,0.7,4274,8.82,0.341182625
4,1,urban,1,1,0.7,4274,8.55,0.341182625
4,2,urban,2,1,0.7,2002,4.28,2.930414153
5,0,metropolitan,1,2,0.05,1098,10.45,0.600999383
5,0,metropolitan,1,2,0.05,1098,9.5,0.930047644
2,0,metropolitan,2,1,0.05,3341,11.27,0.886263327
4,0,metropolitan,2,1,0.3,1012,0.39,0.403585666
2,0,urban,2,2,1.5,2611,68.4,0.838469415
2,0,urban,2,2,1.5,2611,6.65,0.483113324
2,0,urban,2,2,0.7,2869,11.4,0.97844003
2,0,metropolitan,2,1,0.05,3310,34.2,0.267271209
2,0,metropolitan,1,2,0.7,1554,2.85,1.393524447
2,0,metropolitan,1,2,0.7,1554,2.85,1.337965722
5,1,urban,4,2,0.3,4192,6.65,0.411790808
5,1,urban,4,2,0.3,4192,23.75,0.600116768
2,0,metropolitan,2,1,0.15,1713,5.7,1.845475974
4,0,urban,3,1,0.05,7566,38,0.778138907
4,2,urban,1,2,0.7,2306,22.8,0.540772774
4,2,metropolitan,2,2,0.3,2686,7.6,0.940531855
4,2,metropolitan,2,2,0.3,2686,10.55,0.651850793
4,0,urban,4,4,0.7,4298,14.25,0.471303109
4,0,urban,4,4,0.7,4298,19,0.452512624
4,0,urban,4,4,0.7,4298,19,0.88067612
4,0,urban,4,4,0.7,4298,4.75,0.672345133
2,0,urban,1,1,1.5,1509,16.25,2.656939987
4,0,metropolitan,4,4,0.15,3837,3.8,0.747338275
5,2,metropolitan,2,3,0.7,1945,2.94,1.209529464
5,3,urban,1,1,0.3,2554,2.85,1.340467637
5,3,urban,1,1,0.3,2554,2.85,1.340467637
2,0,urban,1,2,0.3,2123,6.65,0.97608469
2,0,metropolitan,2,2,0.3,4033,2.85,1.080921184
3,1,rural,2,2,0.3,2795,17.1,0.633493858
1,0,metropolitan,1,0,0.05,1105,15.34,2.164378763
3,1,metropolitan,2,2,0.3,3794,19.95,0.676451868
4,2,rural,2,2,3.5,2760,6.18,1.396552674
3,1,urban,1,1,0.3,2813,2.25,0.848947482
2,0,urban,1,1,0.7,1964,45.6,0.630192576
2,0,urban,1,2,0.05,2002,4.9,1.181716108
2,0,urban,1,2,0.05,2002,14.25,1.117738804
4,0,metropolitan,2,2,0.05,4781,2.38,0.739518818
5,2,metropolitan,1,3,0.05,2699,6.32,0.663056388
5,2,metropolitan,1,3,0.05,2699,4.75,0.917124986
1,0,metropolitan,2,1,1.5,3575,21.85,1.113965748
2,0,rural,2,2,0.3,3126,5.88,0.925107182
2,0,rural,2,2,0.3,3126,12.35,0.978058608
3,1,urban,1,2,3.5,4538,1.43,0.77494231
3,1,urban,1,2,3.5,4538,1.47,0.845619105
4,0,metropolitan,4,2,0.7,8092,9.8,1.151027728
4,0,metropolitan,4,2,0.7,8092,36.1,1.508557336
4,1,urban,3,3,1.5,4932,2.85,0.494888138
4,1,urban,3,3,1.5,4932,47.5,0.834627545
4,0,metropolitan,3,3,0.7,2777,4.75,0.408762723
4,0,metropolitan,3,3,0.7,2777,19,0.524833545
4,0,metropolitan,3,3,0.7,2777,28.5,0.748709849
3,1,metropolitan,1,2,0.7,2619,5.7,2.399562687
6,2,urban,3,2,0.05,2611,4.75,0.625843534
3,0,metropolitan,1,1,0.3,2764,7.6,0.763387832
2,0,urban,2,2,0.3,2382,9.03,0.947523325
2,0,urban,2,2,0.3,2382,12.16,0.912503934
4,2,metropolitan,2,2,0.3,3051,28.5,0.878811652
4,2,metropolitan,2,2,0.3,3051,3.8,1.215552912
3,0,urban,1,2,0.05,3072,2.38,0.522959825
3,0,urban,1,2,0.05,3072,13.54,0.867485527
6,3,metropolitan,3,4,0.7,2975,95,0.500035975
6,3,metropolitan,3,4,0.7,2975,28.5,0.468090177
6,3,metropolitan,3,4,0.7,2975,33.25,0.829467563
6,3,metropolitan,3,4,0.7,2975,10.45,0.5547517
8,2,metropolitan,3,1,0.7,2836,23.75,0.290466507
4,0,urban,3,3,0.3,2097,26.6,0.637643189
1,0,rural,1,1,0.7,2263,5.7,3.575266291
7,4,rural,3,3,0.3,3227,1.27,0.831577471
5,3,rural,1,1,0.15,2566,26.6,0.575718579
2,0,metropolitan,2,2,0.15,3083,5.04,2.253503103
2,0,metropolitan,2,2,0.15,3083,5.61,2.163657704
5,2,urban,3,2,0.3,3744,28.5,0.605340554
4,1,urban,2,1,0.3,3918,57.95,1.174861594
4,2,metropolitan,2,2,0.7,2067,21.85,0.509641266
4,2,metropolitan,2,2,0.7,2067,7.6,0.528531012
2,0,metropolitan,1,2,0.3,4952,36.1,0.747172203
2,0,metropolitan,1,2,0.3,4952,36.1,0.794783394
5,3,urban,1,2,0.7,2120,0.95,0.906250789
5,3,urban,1,2,0.7,2120,1.9,1.946411084
2,0,urban,1,2,0.7,1731,6.32,0.5596195
2,0,urban,1,2,0.7,1731,5.7,0.575335253
2,0,metropolitan,1,1,0.7,1891,4.75,1.889436823
3,0,metropolitan,2,2,0.7,3657,9.5,1.43561473
2,0,urban,1,2,0.3,1464,5.7,0.519068601
2,0,urban,1,2,0.3,1464,1.47,0.533645567
2,0,urban,1,2,0.3,1464,1.47,0.533645567
4,2,urban,1,2,0.3,1888,0.1,0.742903375
4,2,urban,1,2,0.3,1888,0.1,0.742903375
4,1,urban,2,2,0.05,2295,7.6,0.730742711
2,0,metropolitan,1,2,0.15,5855,17.1,2.598769293
2,0,metropolitan,1,2,0.15,5855,13.54,2.886679015
2,0,metropolitan,2,2,0.05,4063,2.38,3.934235904
4,2,metropolitan,2,2,0.7,7076,23.75,0.629403858
4,0,rural,6,3,0.7,6952,0.98,0.659924979
2,0,urban,2,1,0.15,3142,5.88,1.53619859
2,0,urban,2,2,0.7,6213,0.98,3.288009406
3,1,metropolitan,1,1,0.15,2253,1.96,1.739248432
3,1,metropolitan,1,2,0.3,3525,3.92,1.922675312
3,1,metropolitan,1,2,0.3,3525,3.8,1.922675312
3,1,metropolitan,1,2,0.3,3525,6.37,1.452294306
5,3,metropolitan,2,2,0.7,5583,2.85,0.976317971
4,2,rural,2,2,0.7,3450,4.75,0.397973702
4,2,rural,2,2,0.7,3450,3.8,0.420752981
2,0,metropolitan,0,1,0.05,2897,1.96,1.782760358
5,3,metropolitan,0,1,0.05,2180,9.5,0.913360336
4,1,urban,3,2,0.05,2191,25.65,0.445933349
4,1,urban,3,2,0.05,2191,13.78,0.643421046
4,2,metropolitan,2,2,1.5,3292,12.35,1.068842179
4,1,urban,4,3,0.3,3115,0.29,0.871430736
4,2,metropolitan,2,1,0.15,2263,3.8,1.718702165
4,2,metropolitan,2,1,0.15,2263,3.8,1.718702165
4,2,metropolitan,2,1,0.15,2263,3.8,1.718702165
4,2,metropolitan,2,1,0.15,2263,3.8,1.880474894
3,1,urban,2,1,0.3,3505,32.3,1.136595498
4,0,metropolitan,3,4,0.7,5082,23.75,0.40909749
4,0,metropolitan,3,4,0.7,5082,23.75,0.392787094
4,0,metropolitan,3,4,0.7,5082,23.75,0.987321653
4,0,metropolitan,3,4,0.7,5082,9.5,0.947957914
3,0,metropolitan,2,1,0.3,3583,19.95,0.209063438
2,0,metropolitan,1,2,0.15,4386,31.59,0.663139998
2,0,metropolitan,1,2,0.15,4386,0.9,0.889766153
1,0,urban,1,1,0.15,2080,1.9,2.751562799
2,0,rural,1,1,0.15,3398,3.33,2.055471972
4,1,metropolitan,4,2,0.05,2970,16.15,0.434772312
4,1,metropolitan,4,2,0.05,2970,19,0.452826134
2,0,urban,1,2,0.05,3498,8.08,1.435808359
4,0,metropolitan,2,2,3.5,1686,3.92,0.406135837
4,0,metropolitan,2,2,3.5,1686,3.92,0.458142193
4,2,metropolitan,1,1,0.05,1551,19,1.068695639
4,2,metropolitan,1,1,0.05,1551,2.71,1.02765259
2,0,metropolitan,1,1,0.15,2539,7.6,0.354584615
2,0,metropolitan,1,1,0.05,6098,11.4,2.332452624
4,1,urban,1,2,0.05,4074,55.96,0.456018506
1,0,metropolitan,0,1,0.15,3443,5.88,2.764431919
2,1,urban,1,1,0.3,2002,4.75,0.644844395
5,3,metropolitan,2,1,0.7,5334,14.25,1.319888098
4,1,metropolitan,1,1,0.3,3411,6.32,0.409613494
4,2,urban,1,1,0.05,2270,36.1,0.995912327
3,0,urban,3,1,0.7,2239,16.15,0.784908898
1,0,rural,1,1,0.05,1293,2.66,2.080649598
2,0,urban,2,2,0.15,2116,19,1.127890749
2,0,urban,2,2,0.15,2116,15.2,1.523949602
3,0,urban,1,2,0.7,1557,2.94,0.461905462
3,0,urban,1,2,0.7,1557,11.4,0.479632124
4,0,metropolitan,4,2,0.7,3304,32.3,0.531503832
4,0,metropolitan,4,2,0.7,3304,20.9,1.282738847
4,0,metropolitan,4,2,0.7,3304,16.15,1.019961779
3,0,urban,1,1,0.05,1894,3.8,1.144868193
3,1,metropolitan,1,1,0.7,2163,9.5,1.226884113
5,1,metropolitan,1,2,0.7,4348,9.03,0.876934449
2,0,urban,2,2,0.05,3099,6.65,1.369722705
2,0,rural,1,2,0.7,2044,1.27,0.761200474
2,0,rural,1,2,0.7,2044,17.1,0.7199896
1,0,metropolitan,1,1,0.15,1820,18.05,2.140141672
2,0,urban,1,2,0.7,4892,0.98,1.513424155
2,0,urban,1,2,0.7,4892,0.98,1.513424155
4,2,metropolitan,2,1,0.05,3491,47.5,1.173598003
5,1,urban,2,1,0.05,3148,1.96,0.611112639
2,0,urban,1,1,0.3,2386,2.45,0.483728517
4,2,urban,2,2,0.3,2897,55.1,0.576687449
4,2,urban,2,2,0.3,2897,46.55,0.434690657
4,1,urban,2,4,0.15,2211,31.59,0.502834432
2,0,rural,1,1,0.3,1879,3.8,1.555540812
3,1,metropolitan,2,2,0.7,5900,66.79,2.568608754
3,1,metropolitan,2,2,0.7,5900,3.8,4.476710081
2,0,metropolitan,1,1,0.15,1755,23.75,1.444437043
